"Back","ย้อนกลับ"
"Execute Action","ดำเนินการ"
"Reset","ล้างค้า"
"Attribute Code","แอตทริบิวต์โค้ด"
"Anonymizer","ผู้ไม่ประสงค์ออกนาม"
"Add Attribute's Anonymizer","เพิ่มแอตทิรบิวต์ผู้ไม่ประสงค์ออกนาม"
"Component","คอมโพเน้นท์"
"Processor","โปรเซสเซอร์"
"Add Component Erasure Strategy","เพิ่มคอมโพเน้นท์ จัดการการลบ"
"Erase Personal Data","ลบข้อมูลส่วนบุคคล"
"Are you sure you want to do this?","คุณแน่ใจที่จะดำเนินการ?"
"Export Personal Data","ส่งออกข้อมูลส่วนบุคคล"
"The action state is now: %1.","สถานะการดำเนินการอยู่ในขณะนี้: %1"
"An error occurred on the server.","เกิดข้อผิดพลาดบนเซิร์ฟเวอร์"
"View Actions","ดูการดำเนินการ"
"GDPR","GDPR / PDPA"
"Please correct the data sent.","โปรดกรอกข้อมูลที่ส่งให้ถูกต้อง"
"Action with ID ""%1"": %2","ดำเนินการกับ ID ""%1"": %2"
"A total of %1 record(s) have been deleted.","รวม %1 รายการที่ทำการลบ"
"Execute New Action","ดำเนินการใหม่"
"You erased the order.","คุณได้ลบคำสั่ง"
"You erased the customer.","คุณลบลูกค้า"
"Customer with id ""%1"": %2","ไอดีลูกค้า ""%1"": %2"
"A total of %1 record(s) were erased.","รวม %1 รายการที่ลบ"
"The document does not exists and may have expired. Please renew your demand.","เอกสารนี้ไม่มีอยู่และอาจหมดอายุแล้ว กรุณาต่ออายุความต้องการของคุณ"
"Something went wrong, please try again later!","มีบางอย่างผิดพลาด กรุณาลองใหม่ภายหลัง"
"Your personal data is being removed soon.","ข้อมูลส่วนบุคคลของคุณจะถูกลบในไม่ช้า"
"You will be notified when the export is ready.","คุณจะได้รับแจ้งเมื่อการส่งออกพร้อม"
"A document is already available in your order page.","เอกสารมีอยู่แล้วในหน้าการสั่งซื้อของคุณ"
"You canceled your personal data deletion.","คุณยกเลิกการลบข้อมูลส่วนบุคคลของคุณแล้ว"
"Your account is already being removed.","ข้อมูลของคุณถูกลบไปแล้ว"
"The session initialization has failed.","การเริ่มต้นเซสชันล้มเหลว"
"You did not sign in correctly or your account is temporarily disabled.","คุณลงชื่อเข้าใช้ไม่ถูกต้องหรือบัญชีของคุณถูกปิดใช้งานชั่วคราว"
"A document is already available in your account.","เอกสารมีอยู่แล้วในบัญชีของคุณ"
"You canceled your account deletion.","คุณยกเลิกการลบบัญชีของคุณ"
"Could not save the entity.","ไม่สามารถบันทึกได้"
"Could not delete entity with id ""%1"".","ไม่สามารถลบข้อมูลไอดี ""%1"""
"File ""%1"" does not exists.","ไฟล์ ""%1"" ไม่มีแล้ว"
"Succeeded","เรียบร้อย"
"Failed","ไม่สำเร็จ"
"Impossible to initiate the erasure, it's already processing or there is still pending orders.","ไม่สามารถเริ่มต้นการลบได้ กำลังดำเนินการอยู่หรือยังมีคำสั่งซื้อที่รอดำเนินการอยู่"
"The erasure process is running and cannot be undone.","กระบวนการลบกำลังทำงานอยู่และไม่สามารถยกเลิกได้"
"Impossible to process the erasure, there is still pending orders.","ไม่สามารถดำเนินการลบได้ ยังมีคำสั่งซื้อที่รอดำเนินการอยู่"
"Impossible to process the erasure: %1","ไม่สามารถดำเนินการลบได้: %1"
"An export entity already exists for the entity type ""%1"" with ID ""%2"".","มีข้อมูลการส่งออกอยู่แล้วสำหรับข้อมูลประเภท ""%1"" ที่มีไอดี ""%2"""
"GDPR Email Success","อีเมล GDPR สำเร็จเรียบร้อย"
"GDPR Email Error: %1","ข้อผิดพลาดของอีเมล GDPR: %1"
"State ""%1"" does not exists.","ไม่มีสถานะ ""%1"""
"* Required Fields","* ฟิลด์ที่จำเป็น"
"Confirm password to continue","ยืนยันรหัสผ่านเพื่อดำเนินการ"
"Password","รหัสผ่าน"
"Erase Account","ลบบัญชีผู้ใช้"
"Warning","คำเตือน"
"Do you really want to erase your personal data?","คุณต้องการลบข้อมูลส่วนบุคคลออก?"
"Right to be forgotten","สิทธิ์ที่จะขอลบ"
"Your account will be erased soon. You can undo this action.","บัญชีของคุณจะถูกลบเร็วๆ นี้ คุณสามารถที่ยกเลิกการลบได้ด้วยการกระทำนี้"
"Undo Action","ยกเลิกการดำเนินการ"
"Your account cannot be erased while you have pending orders.","บัญชีของคุณไม่สามารถลบได้ เนื่องจากยังมีคำสั่งซื้อที่ยังรอดำเนินการอยู่"
"Download Personal Data","ดาวน์โหลดข้อมูลส่วนบุคคล"
"Your personal data document is pending export.","ข้อมูลส่วนบุคคลของคุณอยู่ระหว่างรอการส่งออก"
"Information","ข้อมูล"
"We use cookies to make your experience better.","เราใช้คุกกี้เพื่อทำให้ประสบการณ์ของคุณดีขึ้น"
"<a href=""%1"">Learn more</a>.","<a href=""%1"">อ่านเพิ่มเติม</a>"
"Allow Cookies","อนุญาตคุกกี้"
"Undo Erase Personal Data","เลิกทำ การลบข้อมูลส่วนบุคคล"
"Cancellation of the erase of your %store_name information","การยกเลิกการลบข้อมูล %store_name ของคุณ"
"%name,","%name,"
"We have received a request to cancel the erasure of the information associated with your account at %store_name.","เราได้รับคำขอให้ยกเลิกการลบข้อมูลที่เชื่อมโยงกับบัญชีของคุณที่ %store_name"
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","หากคุณไม่ได้อนุญาตการดำเนินการนี้ โปรดติดต่อเราทันทีที่ <a href=""mailto:%store_email"">%store_email</a>"
"Erase your %store_name information","ลบข้อมูล %store_name ของคุณ"
"We have received a request to erase the information associated with your account at %store_name.","เราได้รับคำขอให้ลบข้อมูลที่เชื่อมโยงกับบัญชีของคุณที่ %store_name"
"You can cancel the erase within %delay hours by <a href=""%account_url"">logging into your account</a>.","คุณสามารถยกเลิกการลบภายใน %delay ชั่วโมงโดย <a href=""%account_url""> ล็อกอินเข้าบัญชีของคุณ</a>."
"Erasure of your %store_name information","ลบข้อมูลคุณใน %store_name "
"We have successfully erased the information associated with your account at %store_name.","เราลบข้อมูลที่เชื่อมโยงกับบัญชีของคุณที่ %store_name สำเร็จแล้ว"
"Export your %store_name information","ส่งออกข้อมูล %store_name ของคุณ"
"We have received a request to export the information associated with your account at %store_name.","เราได้รับคำขอให้ส่งออกข้อมูลที่เชื่อมโยงกับบัญชีของคุณที่ %store_name"
"We will notify you when the export will be ready. The action will be available in your account.","เราจะแจ้งให้คุณทราบเมื่อการส่งออกจะพร้อม การดำเนินการนี้จะพร้อมใช้งานในบัญชีของคุณ"
"The export of you personal data is ready. The action is now available in your account.","การส่งออกข้อมูลส่วนบุคคลของคุณพร้อมแล้ว การดำเนินการนี้มีอยู่ในบัญชีของคุณแล้ว"
"GDPR Compliance Erase Customer","การปฏิบัติตามข้อกำหนด GDPR ลบลูกค้า"
"GDPR Compliance Export Customer","การปฏิบัติตามข้อกำหนด GDPR ส่งออกข้อมูลลูกค้า"
"GDPR Compliance Erase Guest Order","การปฏิบัติตามข้อกำหนด GDPR  คำสั่งซื้อของผู้เยี่ยมชม"
"GDPR Compliance Export Guest Order","การปฏิบัติตามข้อกำหนดของ GDPR ส่งออกคำสั่งซื้อของผู้เยี่ยมชม"
"GDPR Actions","การดำเนินการของ GDPR"
"Execute Actions","ดำเนินการ"
"Edit Actions","แก้ไขการดำเนินการ"
"Delete Actions","ดำเนินการลบ"
"GDPR Compliance Section","ส่วนการปฏิบัติตาม GDPR/PDPA"
"Action Logs","บันทึกการดำเนินการ"
"GDPR Compliance","การปฏิบัติตาม GDPR/PDPA"
"User Action","การดำเนินการของผู้ใช้"
"Action Settings","การตั้งค่าการดำเนินการ"
"Cookie Policy","นโยบายคุกกี้"
"Cookie Settings","ตั้งค่าคุกกี้"
"Improve Cookie Restriction Message","ปรับปรุงข้อความจำกัดการใช้คุกกี้"
"It will allows to replace the default cookie restriction popin with content of your own. Make sure that the following configuration is enabled: ""General / Web / Default Cookie Settings / Cookie Restriction Mode"".","จะอนุญาตให้แทนที่ป๊อปอัปการจำกัดคุกกี้เริ่มต้น ด้วยเนื้อหาของคุณเอง ตรวจสอบให้แน่ใจว่าเปิดใช้งานการกำหนดค่าต่อไปนี้: ""ทั่วไป / เว็บ / การตั้งค่าคุกกี้เริ่มต้น / โหมดจำกัดคุกกี้"""
"Information Block","บล็อกข้อมูล"
"Information Page","หน้าข้อมูล"
"Data Erasure","การลบข้อมูล"
"Right To Erasure","สิทธิ์ในการลบ"
"Erasure","การลบข้อมูล"
"It will enable the erase action to the storefront.","มันจะเปิดใช้งานการลบไปยังหน้าร้าน"
"Erasure Delay","ชะลอการลบข้อมูล"
"Erasure delay in minute before the execution by the cron. From 60 to 43800.","ชะลอการลบข้อมูลก่อนจะดำเนินการโดย Cron เป็นนาที จาก 60 ถึง 43800"
"Erase Entity Cron Schedule","ลบกำหนดการทำใน Cron "
"Entities Lifetime","ระยะเวลาเก็บข้อมูล"
"The time is in days.","เวลาเป็นวัน"
"Erase Old Entities Cron Schedule","ลบกำหนดการ Cron ของข้อมุลเก่า"
"Sales Information Lifetime","อายุข้อมูลการขาย"
"Allowed Order States to Erase","อนุญาตให้ลบข้อมูลสั่งซื้อ"
"Customer Component Erasure Strategy","คอมโพเน้นท์เงื่อนไขการลบข้อมูลลูกค้า"
"Defines the components erasure strategy with the component/erase processor mapper for the customers.","กำหนดกลยุทธ์การลบด้วยคอมโพเนนท์/ตัวประมวลผลข้อมูลสำหรับลูกค้า"
"Guest Component Erasure Strategy","คอมโพเน้นท์เงื่อนไขการลบข้อมูล Guest"
"Defines the components erasure strategy with the component/erase processor mapper for the guests.","กำหนดกลยุทธ์การลบด้วยคอมโพเนนท์/ตัวประมวลผลข้อมูลสำหรับ guests"
"Anonymization","การไม่ระบุตัวตน"
"Delete Customer if no Orders","ลบข้อมูลลูกค้าถ้าไม่มีการสั่งซื้อ"
"We will delete the customer if he has no orders. It's only applicable if the component ""customer"" use the ""anonymize"" processor.","เราจะลบลูกค้าหากไม่มีคำสั่งซื้อ ใช้ได้เฉพาะในกรณีที่คอมโพเน้นท์ ""ลูกค้า"" โดยใช้ตัวประมวลผล ""ไม่ระบุชื่อ"""
"Customer Attributes Anonymizers","แอททริบิ้วลูกค้าที่ไม่ระบุตัวตน"
"Customer Custom Attributes Anonymizers","แอททริบิ้วลูกค้าที่กำหนดเองสำหรับที่ไม่ระบุตัวตน"
"Customer Extensible Data Anonymizers","ข้อมูลส่วนเพิ่มเติมสำหรับลูกค้าที่ไม่ระบุตัวตน"
"Customer Address Attributes Anonymizers","แอททริบิ้วข้อมูลที่อยู่ลูกค้าที่ไม่ระบบุตัวตน"
"Customer Address Custom Attributes Anonymizers","แอททริบิ้วข้อมูลที่กำหนดเอง ที่อยู่ลูกค้าที่ไม่ระบบุตัวตน"
"Customer Address Extensible Data Anonymizers","ที่อยู่ลูกค้าที่ไม่ระบุตัวตนเพิ่มเติม"
"Quote Attributes Anonymizers","Quote  แอททริบิ้ว ผู้ไม่ระบุตัวตน"
"Quote Custom Attributes Anonymizers","Quote  แอททริบิ้วที่กำหนดเอง ผู้ไม่ระบุตัวตน"
"Quote Extensible Data Anonymizers","Quote  ข้อมูลเพิ่มเติม ผู้ไม่ระบุตัวตน"
"Quote Address Attributes Anonymizers","Quote  แอททริบิ้วที่อยู่ ผู้ไม่ระบุตัวตน"
"Quote Address Custom Attributes Anonymizers","Quote แอททริบิ้วที่อยู่ที่กำหนดเอง ผู้ไม่ระบุตัวตน"
"Quote Address Extensible Data Anonymizers","Quote ที่อยู่เพิ่มเติม ผู้ไม่ระบุตัวตน"
"Order Attributes Anonymizers","แอททริบิ้วใบสั่งซื้อ ผู้ไม่ระบุตัวตน "
"Order Custom Attributes Anonymizers","แอททริบิ้วใบสั่งซื้อที่กำหนดเอง ผู้ไม่ระบุตัวตน "
"Order Extensible Data Anonymizers","ข้อมูลเพิ่มเติมใบสั่งซื้อ ผู้ไม่ระบุตัวตน "
"Order Address Attributes Anonymizers","แอททริบิ้วที่อยู่ใบสั่งซื้อ ผู้ไม่ระบุตัวตน "
"Order Address Custom Attributes Anonymizers","แอททริบิ้วที่อยู่ใบสั่งซื้อที่กำหนดเอง ผู้ไม่ระบุตัวตน "
"Order Address Extensible Data Anonymizers","แอททริบิ้วที่อยู่ใบสั่งซื้อเพิ่มเติม ผู้ไม่ระบุตัวตน "
"Subscriber Attributes Anonymizers","แอททริบิ้วบอกรับสมาชิก ผู้ไม่ระบุตัวตน "
"Data Export","ข้อมูลนำออก"
"Export Settings","ตั้งค่านำออกข้อมูล"
"Export","นำออกข้อมูล"
"It will enable the export action to the storefront.","มันจะเปิดใช้งานการส่งออกข้อมุลที่หน้าเว็บ"
"Renderers","Renderers"
"Select formats of the export. Notice: At least one human and one machine readable format should be selected.","เลือกรูปแบบการส่งออก หมายเหตุ: ควรเลือกรูปแบบที่อ่านได้โดยมนุษย์และด้วยเครื่องอย่างน้อยหนึ่งรูปแบบ"
"Export File Name","ชื่อไฟล์ที่ส่งออก"
"We will use this value as file name of the document export.","จะใช้ชื่อที่กำหนดเป็นชื่อไฟล์สำหรับเอกสารข้อมูลที่ส่งออก"
"Export Scheduler","ตัวกำหนดตั้งเวลาการส่งออก"
"Export Life Time","ระยะเวลารอ ส่งออกข้อมูล"
"Export life time in minute before it is removed from the server.","ระยะเวลารอส่งออกข้อมูล ก่อนที่จะลบออกจากเซริฟเวอร์"
"Erase Expired Export Schedule","ตั้งเวลาอายุการลบข้อมูลส่งออก"
"Customer","ลูกค้า"
"Customer Attributes","แอตทริบิวต์ของลูกค้า"
"This attributes list will be exported when processed.","รายการแอตทริบิวต์นี้จะถูกส่งออกเมื่อดำเนินการ"
"Customer Custom Attributes","แอตทริบิวต์ที่กำหนดเองของลูกค้า"
"Comma-separated","คั่นด้วยเครื่องหมายจุลภาค"
"Customer Extensible Data","ข้อมูลที่ขยายได้ของลูกค้า"
"Customer Address Attributes","แอตทริบิวต์ที่อยู่ลูกค้า"
"Customer Address Custom Attributes","แอตทริบิวต์ที่อยู่ลูกค้าที่กำหนดเอง"
"Customer Address Extensible Data","ข้อมูลที่อยู่ลูกค้าเพิ่มเติม"
"Quote Attributes","Quote แอททริบิ้ว"
"Quote Custom Attributes","Quote แอททริบิ้วที่กำหนดเอง"
"Quote Extensible Data","Quote ข้อมูลเพิ่มเติม"
"Quote Address Attributes","Quote แอททริบิ้วที่อยู่"
"Quote Address Custom Attributes","Quote  แอททริบิ้วที่อยู่ที่กำหนดเอง"
"Quote Address Extensible Data","Quote ข้อมูลที่อยู่เพิ่มเติม"
"Order Attributes","แอททริบิ้วการสั่งซื้อ"
"Order Custom Attributes","แอททริบิ้วการสั่งซื้อที่กำหนดเอง"
"Order Extensible Data","ข้อมูลเพิ่มเติมการสั่งซื้อ"
"Order Address Attributes","แอททริบิ้วที่อยู่ใบสั่งซื้อ"
"Order Address Custom Attributes","แอททริบิ้วที่กำหนดเองของใบสั่งซื้อ"
"Order Address Extensible Data","ที่อยู่เพิ่มเติมของใบสั่งซื้อ"
"Subscriber Attributes","แอททริบิ้ว บอกรับข่าวสาร"
"Global","ค่าเริ่มต้น"
"General","ทั่วไป"
"Enabled","เปิดใช้งาน"
"It will enable the module features in the admin and frontend ui.","จะเปิดใช้งานความสามารถโมดูลในส่วนของผู้ดูแลและหน้าเว็บ"
"Information page","หน้าให้ข้อมูล"
"This page should store information about privacy and GDPR policy.","หน้านี้ควรให้ข้อมูลการจัดเก็บข้อมูลเกี่ยวกับความเป็นส่วนตัวและนโยบาย GDPR"
"User Notification","แจ้งเตือนผู้ใช้"
"Notification","การแจ้งเตือน"
"Pending Action","การดำเนิการที่ยังรออยู่"
"Email Sender","ผู้ส่งอีเมล"
"Pending Erasure Template","เทมเพลต รอลบข้อมูล"
"Email template chosen based on theme fallback when ""Default"" option is selected.","เลือกเทมเพลตอีเมลตามทางเลือกของธีมเมื่อเลือกตัวเลือก ""ค่าเริ่มต้น"""
"Pending Erasure Template for Guest","เทมเพลตรอลบข้อมูลสำหรับ Guest"
"Send Email Copy To","ส่งอีเมลสำเนาไปยัง"
"Send Email Copy Method","สำเนาอีเมลที่ส่ง"
"Succeeded Action","ดำเนินการเรียบร้อย"
"Succeeded Erasure Template","เทมเพลต เมื่อลบสำเร็จ"
"Succeeded Erasure Template for Guest","เทมเพลต เมื่อลบสำเร็จสำหรับ Guest"
"Canceled Action","ยกเลิกการดำเนินการ"
"Canceled Erasure Template","เทมเพลตยกเลิการลบ"
"Canceled Erasure Template for Guest","เทมเพลตยกเลิกการลบของ Guest"
"Pending Export Template","เทมเพลต รอส่งออกข้อมูล"
"Pending Export Template for Guest","เทมเพลต รอส่งออกข้อมูล Guest"
"Ready Action","พร้อม ดำเนินการ"
"Ready Export Template","เทมเพลต พร้อมดำเนินการส่งออก"
"Ready Export Template for Guest","เทมเพลต พร้อมดำเนินการส่งออก สำหรับ  Guest"
"Are you sure you want to erase the selected customers?","คุณแน่ใจว่าต้องการลบข้อมูลลูกค้าที่ได้เลือกไว้?"
"Erase items","ลบรายการ"
"Erase (GDPR)","ลบ (GDPR)"
"Are you sure you want to export the selected customers?","คุณแน่ใจว่าต้องการส่งออกข้อมูลลูกค้าที่ได้เลือกไว้?"
"Export items","ส่งข้อข้อมูลรายการ"
"Export (GDPR)","ส่งออก (GDPR)"
"New Action","ดำเนินการใหม่"
"Type","ประเภท"
"Action types are registered in the code.","ประเภทการดำเนินการได้ลงทะเบียนในโค้ด"
"Parameters","พารามิเตอร์"
"Add Parameter","เพิ่มพารามิเตอร์"
"Name","ชื่อ"
"Value","ค่า"
"Edit","แก้ไข"
"Are you sure you want to delete the action log?","คุณแน่ใจที่จะลบ บันทึกการดำเนินการ?"
"Delete items","ลบรายการ"
"Delete","ลบ"
"ID","ไอดี"
"Performed From","ดำเนินการจาก"
"Performed By","ดำเนินการโดย"
"Performed At","ดำเนินการเมื่อ"
"State","สถานะ"
"Message","ข้อความ"
"Privacy Settings","ตั้งค่าข้อมูลส่วนบุคคล"